date,stock_id,type,value,origin_name
2023-03-31,1808,CostOfGoodsSold,1639094000.0,營業成本
2023-03-31,1808,EPS,1.89,基本每股盈餘
2023-03-31,1808,EquityAttributableToOwnersOfParent,854685000.0,淨利（淨損）歸屬於母公司業主
2023-03-31,1808,GrossProfit,1426778000.0,營業毛利（毛損）
2023-03-31,1808,IncomeAfterTaxes,854685000.0,本期淨利（淨損）
2023-03-31,1808,IncomeFromContinuingOperations,854685000.0,繼續營業單位本期淨利（淨損）
2023-03-31,1808,OperatingExpenses,321804000.0,營業費用
2023-03-31,1808,OperatingIncome,1104974000.0,營業利益（損失）
2023-03-31,1808,OtherComprehensiveIncome,12292000.0,其他綜合損益（淨額）
2023-03-31,1808,PreTaxIncome,1068055000.0,稅前淨利（淨損）
2023-03-31,1808,Revenue,3065872000.0,營業收入
2023-03-31,1808,TAX,213370000.0,所得稅費用（利益）
2023-03-31,1808,TotalConsolidatedProfitForThePeriod,866977000.0,本期綜合損益總額
2023-03-31,1808,TotalNonoperatingIncomeAndExpense,-36919000.0,營業外收入及支出
2023-06-30,1808,CostOfGoodsSold,2311398000.0,營業成本
2023-06-30,1808,EPS,3.0,基本每股盈餘
2023-06-30,1808,EquityAttributableToOwnersOfParent,1354458000.0,淨利（淨損）歸屬於母公司業主
2023-06-30,1808,GrossProfit,2147147000.0,營業毛利（毛損）
2023-06-30,1808,IncomeAfterTaxes,1354458000.0,本期淨利（淨損）
2023-06-30,1808,IncomeFromContinuingOperations,1354458000.0,繼續營業單位本期淨利（淨損）
2023-06-30,1808,OperatingExpenses,411450000.0,營業費用
2023-06-30,1808,OperatingIncome,1735697000.0,營業利益（損失）
2023-06-30,1808,OtherComprehensiveIncome,21693000.0,其他綜合損益（淨額）
2023-06-30,1808,PreTaxIncome,1716095000.0,稅前淨利（淨損）
2023-06-30,1808,Revenue,4458545000.0,營業收入
2023-06-30,1808,TAX,361637000.0,所得稅費用（利益）
2023-06-30,1808,TotalConsolidatedProfitForThePeriod,1376151000.0,本期綜合損益總額
2023-06-30,1808,TotalNonoperatingIncomeAndExpense,-19602000.0,營業外收入及支出
2023-09-30,1808,CostOfGoodsSold,11189573000.0,營業成本
2023-09-30,1808,EPS,9.2,基本每股盈餘
2023-09-30,1808,EquityAttributableToOwnersOfParent,4148162000.0,淨利（淨損）歸屬於母公司業主
2023-09-30,1808,GrossProfit,5752925000.0,營業毛利（毛損）
2023-09-30,1808,IncomeAfterTaxes,4148162000.0,本期淨利（淨損）
2023-09-30,1808,IncomeFromContinuingOperations,4148162000.0,繼續營業單位本期淨利（淨損）
2023-09-30,1808,OperatingExpenses,719194000.0,營業費用
2023-09-30,1808,OperatingIncome,5033731000.0,營業利益（損失）
2023-09-30,1808,OtherComprehensiveIncome,10774000.0,其他綜合損益（淨額）
2023-09-30,1808,PreTaxIncome,4957944000.0,稅前淨利（淨損）
2023-09-30,1808,Revenue,16942498000.0,營業收入
2023-09-30,1808,TAX,809782000.0,所得稅費用（利益）
2023-09-30,1808,TotalConsolidatedProfitForThePeriod,4158936000.0,本期綜合損益總額
