date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,2390,Taiwan,71126000,12,2022,
2023-02-01,2390,Taiwan,44739000,1,2023,
2023-03-01,2390,Taiwan,54655000,2,2023,
2023-04-01,2390,Taiwan,53597000,3,2023,
2023-05-01,2390,Taiwan,55486000,4,2023,
2023-06-01,2390,Taiwan,54853000,5,2023,
2023-07-01,2390,Taiwan,57265000,6,2023,
2023-08-01,2390,Taiwan,55058000,7,2023,
2023-09-01,2390,Taiwan,46336000,8,2023,
2023-10-01,2390,Taiwan,52667000,9,2023,
2023-11-01,2390,Taiwan,49157000,10,2023,
2023-12-01,2390,Taiwan,54708000,11,2023,
2024-01-01,2390,Taiwan,69801000,12,2023,
2024-02-01,2390,Taiwan,49041000,1,2024,
2024-03-01,2390,Taiwan,41814000,2,2024,
2024-04-01,2390,Taiwan,65985000,3,2024,
2024-05-01,2390,Taiwan,52504000,4,2024,
2024-06-01,2390,Taiwan,58335000,5,2024,
2024-07-01,2390,Taiwan,64686000,6,2024,
2024-08-01,2390,Taiwan,56902000,7,2024,
2024-09-01,2390,Taiwan,52023000,8,2024,
2024-10-01,2390,Taiwan,57272000,9,2024,
2024-11-01,2390,Taiwan,69048000,10,2024,
2024-12-01,2390,Taiwan,61153000,11,2024,
2025-01-01,2390,Taiwan,72744000,12,2024,
2025-02-01,2390,Taiwan,51862000,1,2025,
2025-03-01,2390,Taiwan,73298000,2,2025,
2025-04-01,2390,Taiwan,65919000,3,2025,
2025-05-01,2390,Taiwan,57845000,4,2025,
2025-06-01,2390,Taiwan,52313000,5,2025,
2025-07-01,2390,Taiwan,50888000,6,2025,
2025-08-01,2390,Taiwan,56295000,7,2025,
2025-09-01,2390,Taiwan,49655000,8,2025,
2025-10-01,2390,Taiwan,51562000,9,2025,
2025-11-01,2390,Taiwan,51673000,10,2025,
2025-12-01,2390,Taiwan,52034000,11,2025,
2026-01-01,2390,Taiwan,65802000,12,2025,
2026-02-01,2390,Taiwan,52619000,1,2026,
2026-03-01,2390,Taiwan,44789000,2,2026,2026-04-21
2026-04-01,2390,Taiwan,50948000,3,2026,2026-04-21
2026-05-01,2390,Taiwan,51609000,4,2026,2026-05-09
2026-06-01,2390,Taiwan,63164000,5,2026,
2026-07-01,2390,Taiwan,59823000,6,2026,
2026-08-01,2390,Taiwan,60061000,7,2026,
