date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,2328,536990.0,6904458.0,13.0,13.15,12.7,12.7,-0.3,251.0
2016-01-05,2328,577254.0,7267819.0,12.35,12.8,12.35,12.7,0.0,255.0
2016-01-06,2328,1492567.0,18402863.0,12.8,12.8,12.1,12.2,-0.5,773.0
2016-01-07,2328,2616955.0,30998120.0,12.1,12.45,11.4,11.6,-0.6,995.0
2016-01-08,2328,1156561.0,13584353.0,11.3,11.95,11.3,11.8,0.2,484.0
2016-01-11,2328,812870.0,9355562.0,11.7,11.7,11.4,11.4,-0.4,365.0
2016-01-12,2328,916886.0,10487553.0,11.5,11.65,11.25,11.3,-0.1,335.0
2016-01-13,2328,666868.0,7603928.0,11.5,11.5,11.3,11.35,0.05,291.0
2016-01-14,2328,745835.0,8267556.0,11.1,11.2,10.95,11.05,-0.3,324.0
2016-01-15,2328,515547.0,5760565.0,11.25,11.4,11.1,11.15,0.1,255.0
2016-01-18,2328,969277.0,10733295.0,10.75,11.4,10.75,11.3,0.15,444.0
2016-01-19,2328,1377647.0,15886600.0,11.3,11.75,11.25,11.6,0.3,551.0
2016-01-20,2328,787394.0,8959748.0,11.5,11.55,11.25,11.3,-0.3,350.0
2016-01-21,2328,1026394.0,11831178.0,11.4,11.75,11.25,11.5,0.2,447.0
2016-01-22,2328,758056.0,8781042.0,11.65,11.75,11.45,11.5,0.0,360.0
2016-01-25,2328,610633.0,7102720.0,11.55,11.7,11.5,11.65,0.15,275.0
2016-01-26,2328,2479721.0,29651272.0,11.6,12.2,11.55,12.1,0.45,992.0
2016-01-27,2328,1085765.0,13040041.0,12.1,12.15,11.9,11.95,-0.15,495.0
2016-01-28,2328,1134747.0,13768278.0,11.9,12.4,11.9,12.0,0.05,566.0
2016-01-29,2328,907543.0,10947154.0,12.0,12.2,11.95,12.0,0.0,404.0
2016-01-30,2328,577633.0,7028903.0,12.15,12.3,12.05,12.2,0.2,262.0
2016-02-01,2328,681502.0,8293819.0,12.2,12.35,12.05,12.2,0.0,357.0
2016-02-02,2328,391086.0,4746285.0,12.15,12.25,12.05,12.1,-0.1,266.0
2016-02-03,2328,998799.0,12042165.0,12.0,12.25,11.95,12.0,-0.1,481.0
2016-02-15,2328,608788.0,7222125.0,11.8,11.95,11.75,11.9,-0.1,379.0
2016-02-16,2328,1961237.0,24094854.0,11.9,12.5,11.9,12.4,0.5,1017.0
2016-02-17,2328,1891746.0,23567993.0,12.4,12.65,12.2,12.45,0.05,773.0
2016-02-18,2328,874562.0,10885299.0,12.6,12.6,12.35,12.4,-0.05,467.0
2016-02-19,2328,1154380.0,14144410.0,12.25,12.45,12.15,12.15,-0.25,539.0
2016-02-22,2328,995462.0,12185400.0,12.2,12.4,12.1,12.2,0.05,463.0
2016-02-23,2328,574477.0,7039431.0,12.35,12.35,12.2,12.3,0.1,366.0
2016-02-24,2328,711658.0,8685755.0,12.2,12.35,12.1,12.1,-0.2,449.0
2016-02-25,2328,4346589.0,54777412.0,12.2,12.9,12.15,12.85,0.75,1656.0
2016-02-26,2328,1913270.0,24088661.0,12.6,12.7,12.45,12.6,-0.25,841.0
2016-03-01,2328,922979.0,11708908.0,12.75,12.75,12.6,12.7,0.1,460.0
2016-03-02,2328,1804475.0,23348792.0,12.9,13.1,12.8,12.9,0.2,761.0
2016-03-03,2328,2309251.0,30523573.0,13.1,13.4,13.0,13.2,0.3,962.0
2016-03-04,2328,2245564.0,30087557.0,13.35,13.5,13.3,13.4,0.2,884.0
2016-03-07,2328,1476488.0,19603531.0,13.5,13.6,13.1,13.15,-0.25,629.0
2016-03-08,2328,1675771.0,22359425.0,13.25,13.55,13.05,13.45,0.3,669.0
2016-03-09,2328,1253887.0,16846484.0,13.45,13.6,13.3,13.4,-0.05,542.0
2016-03-10,2328,1032271.0,13870802.0,13.5,13.5,13.25,13.4,0.0,508.0
2016-03-11,2328,857792.0,11485471.0,13.4,13.45,13.3,13.4,0.0,381.0
2016-03-14,2328,1116872.0,15168807.0,13.55,13.75,13.5,13.5,0.1,465.0
2016-03-15,2328,1619505.0,21484234.0,13.6,13.6,13.05,13.1,-0.4,532.0
2016-03-16,2328,4817185.0,66498690.0,13.2,14.15,13.2,14.05,0.95,1845.0
2016-03-17,2328,3064738.0,43277089.0,14.3,14.6,13.7,13.8,-0.25,1202.0
2016-03-18,2328,4804531.0,67994527.0,13.8,14.3,13.8,14.3,0.5,1704.0
2016-03-21,2328,2188900.0,30999278.0,14.3,14.5,13.9,14.2,-0.1,859.0
2016-03-22,2328,1398430.0,19353446.0,14.1,14.1,13.7,13.85,-0.35,570.0
2016-03-23,2328,802838.0,11036168.0,13.75,14.0,13.65,13.75,-0.1,400.0
2016-03-24,2328,1477605.0,20036956.0,13.65,13.8,13.45,13.6,-0.15,591.0
2016-03-25,2328,535540.0,7224116.0,13.6,13.65,13.4,13.45,-0.15,322.0
2016-03-28,2328,1149121.0,15743875.0,13.6,13.9,13.5,13.6,0.15,502.0
